"",""
"Action","Action"
"Add Site Review","Add Site Review"
"An error occurred while updating the site reviews.","An error occurred while updating the site reviews."
"Are you sure?","Are you sure?"
"CSV","CSV"
"Change status","Change status"
"City","City"
"Could not find site review to delete.","Could not find site review to delete."
"Created at","Created at"
"Customer Image","Customer Image"
"Customer Name","Customer Name"
"Delete File","Delete File"
"Delete Site Review","Delete Site Review"
"Delete","Delete"
"Detail","Detail"
"Disabled","Disabled"
"Edit Site Review '%s'","Edit Site Review '%s'"
"Edit","Edit"
"Email","Email"
"Enabled","Enabled"
"Error saving site review","Error saving site review"
"Excel","Excel"
"Home","Home"
"Id","Id"
"Mobile","Mobile"
"No","No"
"None","None"
"Please select site reviews to delete.","Please select site reviews to delete."
"Please select site reviews.","Please select site reviews."
"Rating","Rating"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Site Review","Save Site Review"
"Site Review was saved","Site Review was saved"
"Site Review was successfully deleted.","Site Review was successfully deleted."
"Site Review was successfully saved","Site Review was successfully saved"
"Site Review","Site Review"
"Site Reviews","Site Reviews"
"State","State"
"Status","Status"
"Store views","Store views"
"The site reviews has been deleted.","The site reviews has been deleted."
"There was a problem saving the site review.","There was a problem saving the site review."
"There was an error deleting site review.","There was an error deleting site review."
"There was an error deleting site reviews.","There was an error deleting site reviews."
"There was an error updating site reviews.","There was an error updating site reviews."
"This site review no longer exists.","This site review no longer exists."
"Title","Title"
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Total of %d site reviews were successfully deleted.","Total of %d site reviews were successfully deleted."
"Total of %d site reviews were successfully updated.","Total of %d site reviews were successfully updated."
"Unable to find site review to save.","Unable to find site review to save."
"Updated at","Updated at"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"